epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.709,4.42088,3.9449,2.85346,0.0007,0.06157,0.00039,8e-05,4.30425,4.10534,2.84764,0.00028339,0.00028339,0.00028339
2,60.2972,4.10276,3.76948,2.22964,0,0,0,0,4.55283,4.10502,4.43726,0.000554569,0.000554569,0.000554569
3,89.1402,3.90869,3.57601,2.08212,0,0,0,0,5.05057,4.14752,6.45722,0.000796043,0.000796043,0.000796043
4,117.83,3.93415,3.42436,2.145,0.00495,0.01418,0.0029,0.00062,4.37523,3.81007,2.94154,0.00100781,0.00100781,0.00100781
5,146.663,3.79598,3.25675,2.0129,0.00515,0.03643,0.003,0.00062,4.08376,3.57651,2.32607,0.00118987,0.00118987,0.00118987
6,175.248,3.82696,3.13067,1.98623,0.00391,0.02257,0.00209,0.00054,4.2278,3.40944,2.38472,0.00125442,0.00125442,0.00125442
7,204.285,3.89552,3.04242,2.01985,0.00705,0.04126,0.00405,0.00108,4.01219,3.2517,2.26568,0.0011719,0.0011719,0.0011719
8,233.35,3.7706,2.95292,1.91452,0.5161,0.01289,0.0026,0.00072,4.0971,3.49486,2.4708,0.00108938,0.00108938,0.00108938
9,262.127,3.72312,2.93398,1.86021,0.00513,0.03191,0.00296,0.00065,4.13893,3.3542,2.46031,0.00100687,0.00100687,0.00100687
10,291.022,3.77389,2.88674,1.90867,0.52628,0.02128,0.00513,0.00105,3.89392,3.18249,2.23825,0.000924352,0.000924352,0.000924352
11,319.804,3.75992,2.8774,1.86816,0.51471,0.01289,0.00484,0.00124,3.85883,3.07199,2.21681,0.000841835,0.000841835,0.000841835
12,349.146,3.70227,2.83709,1.91917,0.00727,0.05061,0.00446,0.00106,3.84566,3.009,2.19573,0.000759318,0.000759318,0.000759318
13,378.319,3.69045,2.82493,1.87514,0.00676,0.04707,0.00381,0.00083,3.99448,2.96706,2.26117,0.000676802,0.000676802,0.000676802
14,407.685,3.61218,2.77925,1.82542,0.00713,0.04965,0.00427,0.00102,3.88643,2.7515,2.08717,0.000594286,0.000594286,0.000594286
15,438.784,3.67576,2.73816,1.85634,0.00824,0.05738,0.00509,0.00132,3.88349,2.71467,2.04298,0.000511769,0.000511769,0.000511769
16,470.967,3.63699,2.74167,1.83041,0.00954,0.06641,0.00638,0.00158,3.82948,2.70962,2.0085,0.000429253,0.000429253,0.000429253
17,500,3.60303,2.72918,1.7984,0.01106,0.07705,0.00712,0.00178,3.74591,2.71214,1.95962,0.000346736,0.000346736,0.000346736
18,528.56,3.64586,2.66358,1.78933,0.0125,0.08704,0.00811,0.00199,3.637,2.68826,1.90652,0.00026422,0.00026422,0.00026422
19,556.939,3.55872,2.69374,1.78769,0.01185,0.08253,0.00814,0.00198,3.61343,2.68235,1.89479,0.000181703,0.000181703,0.000181703
20,585.122,3.52398,2.69778,1.81393,0.01204,0.08382,0.00805,0.00193,3.62633,2.6576,1.89882,9.91865e-05,9.91865e-05,9.91865e-05
