epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6677,4.12748,2.76215,3.69877,2.0381,0.00257,0.00967,0.00131,0.0003,0.00541,0.03514,0.00283,0.00074,4.56685,3.02332,3.91745,2.43585,0.00028339,0.00028339,0.00028339
2,64.8274,4.04826,2.82783,3.53732,1.85266,0.00559,0.0245,0.00295,0.00067,0.00742,0.03256,0.00399,0.00115,4.50493,3.07706,3.80889,2.36561,0.000554569,0.000554569,0.000554569
3,96.1641,4.02618,2.8848,3.34985,1.79755,0.00246,0.00806,0.00125,0.00025,0.0064,0.06544,0.00335,0.00082,4.61864,3.12675,3.75356,2.7868,0.000796043,0.000796043,0.000796043
4,127.246,3.9977,2.72929,3.23465,1.86047,0.00287,0.01064,0.00147,0.00036,0.00735,0.04191,0.00389,0.00134,4.54093,3.51856,3.61184,2.54836,0.00100781,0.00100781,0.00100781
5,158.611,3.90536,2.76181,3.13873,1.78925,0.00169,0.00709,0.00088,0.00019,0.00506,0.03578,0.00286,0.00089,4.72982,3.62477,3.31646,2.40446,0.00118987,0.00118987,0.00118987
6,190.81,3.97192,2.81361,3.04182,1.78037,0.00418,0.0187,0.00219,0.00051,0.00939,0.05642,0.00531,0.00146,4.19032,3.69708,3.25622,2.17441,0.00125442,0.00125442,0.00125442
7,222.681,3.96644,2.91259,2.97334,1.78637,0.00721,0.03965,0.00396,0.00102,0.01275,0.05545,0.00799,0.00231,4.05311,3.97461,3.06583,2.11003,0.0011719,0.0011719,0.0011719
8,255.022,3.85794,2.84514,2.90048,1.69637,0.01306,0.07769,0.00749,0.00168,0.01194,0.08221,0.00749,0.00194,4.02271,3.66987,2.78688,1.8313,0.00108938,0.00108938,0.00108938
9,286.771,3.80606,2.8107,2.81582,1.62074,0.00442,0.03063,0.00241,0.00055,0.00679,0.04707,0.00385,0.00083,4.31402,3.25013,3.01934,1.90691,0.00100687,0.00100687,0.00100687
10,318.053,3.84251,2.79735,2.78992,1.68304,0.00587,0.04062,0.00319,0.00077,0.00774,0.05351,0.00439,0.00116,4.22635,3.04708,2.9012,2.0047,0.000924352,0.000924352,0.000924352
11,350.426,3.84165,2.80753,2.75111,1.64632,0.51205,0.04803,0.00648,0.00157,0.01213,0.08317,0.00795,0.00207,3.81599,3.11232,2.72579,1.80541,0.000841835,0.000841835,0.000841835
12,382.277,3.76552,2.85821,2.76041,1.66917,0.51869,0.02321,0.00638,0.00171,0.51137,0.0764,0.00698,0.00217,3.67906,3.12467,2.7137,1.72741,0.000759318,0.000759318,0.000759318
13,414.27,3.8266,2.68311,2.73372,1.65952,0.51685,0.03901,0.00819,0.00208,0.01191,0.08253,0.00716,0.00212,3.57343,3.10589,2.64925,1.68091,0.000676802,0.000676802,0.000676802
14,446.387,3.71565,2.73977,2.68335,1.61769,0.0088,0.06125,0.0051,0.00123,0.0095,0.0619,0.00605,0.00146,3.98278,3.12753,2.60193,1.86196,0.000594286,0.000594286,0.000594286
15,477.997,3.78478,2.87676,2.668,1.64391,0.0112,0.07801,0.00687,0.00176,0.01505,0.10477,0.01025,0.00302,3.71751,3.05414,2.56747,1.72035,0.000511769,0.000511769,0.000511769
16,510.7,3.73373,2.81252,2.68303,1.63166,0.01074,0.07479,0.00675,0.00161,0.01431,0.09961,0.00891,0.00253,3.68285,3.03743,2.53168,1.68925,0.000429253,0.000429253,0.000429253
17,542.777,3.69112,2.71119,2.65336,1.5907,0.01167,0.08124,0.0073,0.00178,0.01491,0.1038,0.00957,0.00288,3.64078,3.07889,2.48761,1.66895,0.000346736,0.000346736,0.000346736
18,574.999,3.73478,2.81459,2.58609,1.58369,0.01176,0.08188,0.0071,0.00188,0.01574,0.10961,0.01192,0.00357,3.6613,3.1548,2.47296,1.64943,0.00026422,0.00026422,0.00026422
19,607.506,3.67335,2.91874,2.60611,1.59237,0.01264,0.08801,0.00802,0.00198,0.015,0.10445,0.01011,0.00282,3.57491,3.03869,2.46653,1.62739,0.000181703,0.000181703,0.000181703
20,639.394,3.67918,2.71858,2.6122,1.62937,0.01283,0.08897,0.00803,0.00197,0.01436,0.09961,0.00945,0.00269,3.53142,3.02306,2.47863,1.6253,9.91865e-05,9.91865e-05,9.91865e-05
